Round,Track,Date,Driver,Team,Class,Position,Points,DNS_DNF
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Sully,Sully-Sully,GR1,1,24,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Speedysully,Sully-Sully,GR2,7,2,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,A. Zerpa,Boltus-Zerpa,GR2,1,22,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Boltus,Boltus-Zerpa,GR1,4,8,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Dark Delacroix,Dark-Ctill,GR2,2,16,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,CtillVR,Dark-Ctill,GR1,6,4,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Barry,Barry-Pawl,GR1,2,16,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Pawl,Barry-Pawl,GR2,6,4,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,PeekabooRacing,Peekaboo-Jett,GR1,8,1,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Jett,Peekaboo-Jett,GR2,4,9,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,TVDV,TVDV-Ncard,GR1,3,12,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Ncardw11,TVDV-Ncard,GR2,5,6,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,PunkTree,Punk-Lead,GR2,3,13,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,Leadfoot,Punk-Lead,GR1,7,2,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,TheEliteWeasel61,Weasel-Jesus,GR1,5,6,
1,Blue Moon Bay Speedway - Infield A,2026-02-24,LART_Jesus,Weasel-Jesus,GR2,8,1,
2,Mount Panorama Circuit - Full Course,2026-03-03,Sully,Sully-Sully,GR1,2,17,
2,Mount Panorama Circuit - Full Course,2026-03-03,Speedysully,Sully-Sully,GR2,3,12,
2,Mount Panorama Circuit - Full Course,2026-03-03,A. Zerpa,Boltus-Zerpa,GR1,1,23,
2,Mount Panorama Circuit - Full Course,2026-03-03,Boltus,Boltus-Zerpa,GR2,4,8,
2,Mount Panorama Circuit - Full Course,2026-03-03,Dark Delacroix,Dark-Ctill,GR1,3,12,
2,Mount Panorama Circuit - Full Course,2026-03-03,CtillVR,Dark-Ctill,GR2,5,6,
2,Mount Panorama Circuit - Full Course,2026-03-03,Barry,Barry-Pawl,GR2,1,23,
2,Mount Panorama Circuit - Full Course,2026-03-03,Pawl,Barry-Pawl,GR1,7,2,
2,Mount Panorama Circuit - Full Course,2026-03-03,PeekabooRacing,Peekaboo-Jett,GR2,2,17,
2,Mount Panorama Circuit - Full Course,2026-03-03,Jett,Peekaboo-Jett,GR1,6,4,
2,Mount Panorama Circuit - Full Course,2026-03-03,TVDV,TVDV-Ncard,GR1,4,8,
2,Mount Panorama Circuit - Full Course,2026-03-03,Ncardw11,TVDV-Ncard,GR2,7,2,
2,Mount Panorama Circuit - Full Course,2026-03-03,PunkTree,Punk-Lead,GR1,5,6,
2,Mount Panorama Circuit - Full Course,2026-03-03,Leadfoot,Punk-Lead,GR2,6,4,
2,Mount Panorama Circuit - Full Course,2026-03-03,TheEliteWeasel61,Weasel-Jesus,GR2,8,1,
2,Mount Panorama Circuit - Full Course,2026-03-03,LART_Jesus,Weasel-Jesus,GR1,8,1,
3,Dragon Trail - Gardens,2026-03-10,Sully,Sully-Sully,GR2,2,17,
3,Dragon Trail - Gardens,2026-03-10,Speedysully,Sully-Sully,GR1,0,0,DNS/DNF
3,Dragon Trail - Gardens,2026-03-10,A. Zerpa,Boltus-Zerpa,GR1,3,12,
3,Dragon Trail - Gardens,2026-03-10,Boltus,Boltus-Zerpa,GR2,5,6,
3,Dragon Trail - Gardens,2026-03-10,Dark Delacroix,Dark-Ctill,GR1,1,23,
3,Dragon Trail - Gardens,2026-03-10,CtillVR,Dark-Ctill,GR2,7,2,
3,Dragon Trail - Gardens,2026-03-10,Barry,Barry-Pawl,GR1,2,17,
3,Dragon Trail - Gardens,2026-03-10,Pawl,Barry-Pawl,GR2,1,22,
3,Dragon Trail - Gardens,2026-03-10,PeekabooRacing,Peekaboo-Jett,GR1,6,4,
3,Dragon Trail - Gardens,2026-03-10,Jett,Peekaboo-Jett,GR2,4,8,
3,Dragon Trail - Gardens,2026-03-10,TVDV,TVDV-Ncard,GR2,6,4,
3,Dragon Trail - Gardens,2026-03-10,Ncardw11,TVDV-Ncard,GR1,4,8,
3,Dragon Trail - Gardens,2026-03-10,PunkTree,Punk-Lead,GR2,3,13,
3,Dragon Trail - Gardens,2026-03-10,Leadfoot,Punk-Lead,GR1,0,0,DNS/DNF
3,Dragon Trail - Gardens,2026-03-10,TheEliteWeasel61,Weasel-Jesus,GR1,5,6,
3,Dragon Trail - Gardens,2026-03-10,LART_Jesus,Weasel-Jesus,GR2,8,1,
4,Suzuka Circuit - Full Course,2026-03-18,Sully,Sully-Sully,GR1,1,24,
4,Suzuka Circuit - Full Course,2026-03-18,Speedysully,Sully-Sully,GR2,6,4,
4,Suzuka Circuit - Full Course,2026-03-18,A. Zerpa,Boltus-Zerpa,GR1,3,12,
4,Suzuka Circuit - Full Course,2026-03-18,Boltus,Boltus-Zerpa,GR2,1,22,
